address_id,city,line1,line2,zipcode,state
46d60e3d-8477-4882-94ab-f5247c665b05,Moss,8 Swallow Court,991,1508,Ostfold
1ef7069b-03fa-456e-92cd-319d9800bfa7,Szczerców,99956 Schiller Place,622,97-420,
77139a66-91aa-462f-a97b-6dbdaa236a54,Porto Calvo,4 Bluestem Center,0,57900-000,
663cde8f-dcc0-4f2b-8bc3-0ea5ab029d94,Bhawāna,53 Superior Center,28521,35351,
41d7a943-aeab-4d4a-a48c-b068fdc1844a,Dobje pri Planini,1188 Kim Street,902,3224,
97baea42-b5c5-414b-bdd4-52af6e4835fc,San Andres,7 Northview Hill,3,5504,
392c9862-59c9-46b9-9fa2-4c0a4fe54032,Jacarezinho,3581 Mallard Lane,37,86400-000,
2f084d63-0503-4bd7-ab78-ba6044420e32,Bruxelles,2 Pond Way,129,1170,Bruxelles-Capitale
c9ccbe5b-c576-44e0-8c5a-a80276366524,Bondowoso,6669 Emmet Drive,3,,
e8c0e6c5-c43e-4113-8445-eb30f8ffeda7,Kista,8 Kennedy Point,6877,164 30,Stockholm
ade95560-07db-48ec-92db-da36f1584c9e,Setonokalong,1 Talmadge Court,504,,
db3a3d29-86de-4130-a622-05d618f0bdb5,Rawa,77 Carioca Junction,23265,,
e6ee4f63-3d58-47e3-b11b-5783e6d3d510,Huaguo,0 Ludington Alley,2,,
e3f0e2ec-96a4-4c32-814d-6b3ea1bb8a88,Skhira,44920 Eliot Parkway,7,,
39a1ef58-2105-40f2-9725-62d28d60586b,Göteborg,53044 Meadow Valley Junction,143,401 24,Västra Götaland
9dc398b7-8103-4a34-a4ac-999ac9a171d1,Antequera,781 Spaight Alley,7975,,
99066bf9-4d19-47fe-805e-1af7705f6954,Serrana,4 Lindbergh Alley,67203,14150-000,
b1496cc3-60b7-4997-968f-91c869e5939c,Badulla,828 Corry Trail,76,90000,
40f3e748-1074-4b4a-b5b6-c79f83bc0c53,Socorro,1655 Mifflin Crossing,84965,8416,
f231991e-40f8-4cc7-8f56-557f7b79b62b,Tabou,10824 Thackeray Terrace,0,,
0e32b52b-971e-4afc-8b5f-4dd24e1f7691,Sergach,200 Glacier Hill Street,7,607529,
6bcbbccb-cb93-4151-8ede-52ffbf9c2470,Lafia,6428 New Castle Junction,95254,,
9714589b-006e-41c2-a57a-048374622fc3,Tenggun Dajah,54593 Kedzie Junction,1,,
a57fda58-ca4b-411b-8d48-7711d172e2fc,Pesqueira,9 Oak Alley,663,55200-000,
7567bffd-87e2-4822-bb8f-3a811ae1706e,Swan Hills,8746 Gina Circle,517,L2T,Alberta
a26cafa2-bf06-4b2c-b57f-32a159824f67,Pemba,19 Prairie Rose Pass,1839,,
b4cd1144-12db-4d62-8450-6918b22c5b10,Ciudad Bolivia,527 Waywood Trail,1,,
10922fb1-d267-4849-a8ad-0ed05b248184,Barubandung,7 Myrtle Road,3484,,
ec48529f-72e0-4c85-9550-aa66227ee845,Xijiao,41 Kinsman Point,686,,
054604e6-71c1-4f89-9b69-f9d1827857dd,København,5 Green Trail,9,1058,Region Hovedstaden
2afadf52-e6b8-432e-a764-9b008fa61f13,Banjar Serangan,37 Lakewood Trail,6,,
1d8bf31e-9a3a-419c-a52f-5d51f340d797,Baugo,93 Harper Trail,40001,6017,
bc87fdea-bc46-4deb-8715-32892307cc1e,Camino Real,5 Mcguire Crossing,998,45306,Jalisco
